[21:48:45.963] 学习率0.05,训练200轮,batch为24
[21:49:57.231] iteration 54 : loss : 0.513167, loss_ce: 0.191415, loss_dice: 0.727668
[21:49:58.002] iteration 55 : loss : 0.517597, loss_ce: 0.173778, loss_dice: 0.746809
[21:49:58.342] iteration 56 : loss : 0.504550, loss_ce: 0.134849, loss_dice: 0.751018
[21:49:59.820] iteration 57 : loss : 0.520425, loss_ce: 0.161387, loss_dice: 0.759783
[21:50:01.809] iteration 58 : loss : 0.556699, loss_ce: 0.188133, loss_dice: 0.802409
[21:50:02.196] iteration 59 : loss : 0.519088, loss_ce: 0.139392, loss_dice: 0.772219
[21:50:02.577] iteration 60 : loss : 0.582489, loss_ce: 0.255041, loss_dice: 0.800787
[21:50:03.650] iteration 61 : loss : 0.513984, loss_ce: 0.166814, loss_dice: 0.745430
[21:50:05.268] iteration 62 : loss : 0.480687, loss_ce: 0.119181, loss_dice: 0.721691
[21:50:05.606] iteration 63 : loss : 0.493865, loss_ce: 0.147482, loss_dice: 0.724787
[21:50:05.945] iteration 64 : loss : 0.522369, loss_ce: 0.214623, loss_dice: 0.727533
[21:50:06.813] iteration 65 : loss : 0.500066, loss_ce: 0.174182, loss_dice: 0.717323
[21:50:08.782] iteration 66 : loss : 0.519002, loss_ce: 0.183696, loss_dice: 0.742540
[21:50:09.310] iteration 67 : loss : 0.494690, loss_ce: 0.155138, loss_dice: 0.721058
[21:50:09.719] iteration 68 : loss : 0.494223, loss_ce: 0.166830, loss_dice: 0.712486
[21:50:11.698] iteration 69 : loss : 0.496640, loss_ce: 0.153422, loss_dice: 0.725452
[21:50:14.245] iteration 70 : loss : 0.475022, loss_ce: 0.114554, loss_dice: 0.715334
[21:50:14.638] iteration 71 : loss : 0.565091, loss_ce: 0.233254, loss_dice: 0.786316
[21:50:15.005] iteration 72 : loss : 0.542015, loss_ce: 0.134506, loss_dice: 0.813688
[21:50:15.356] iteration 73 : loss : 0.495012, loss_ce: 0.106625, loss_dice: 0.753937
[21:50:17.265] iteration 74 : loss : 0.510913, loss_ce: 0.174072, loss_dice: 0.735473
[21:50:17.644] iteration 75 : loss : 0.473977, loss_ce: 0.125674, loss_dice: 0.706180
[21:50:18.009] iteration 76 : loss : 0.556356, loss_ce: 0.213252, loss_dice: 0.785092
[21:50:18.664] iteration 77 : loss : 0.514320, loss_ce: 0.190698, loss_dice: 0.730069
[21:50:22.860] iteration 78 : loss : 0.468687, loss_ce: 0.147512, loss_dice: 0.682803
[21:50:23.201] iteration 79 : loss : 0.461732, loss_ce: 0.133178, loss_dice: 0.680767
[21:50:23.585] iteration 80 : loss : 0.465842, loss_ce: 0.140432, loss_dice: 0.682782
[21:50:24.500] iteration 81 : loss : 0.458265, loss_ce: 0.142270, loss_dice: 0.668928
[21:50:28.130] iteration 82 : loss : 0.527402, loss_ce: 0.198556, loss_dice: 0.746633
[21:50:28.515] iteration 83 : loss : 0.462532, loss_ce: 0.143584, loss_dice: 0.675165
[21:50:28.912] iteration 84 : loss : 0.424122, loss_ce: 0.097366, loss_dice: 0.641960
[21:50:29.279] iteration 85 : loss : 0.520990, loss_ce: 0.221535, loss_dice: 0.720627
[21:50:32.996] iteration 86 : loss : 0.520010, loss_ce: 0.206720, loss_dice: 0.728871
[21:50:33.400] iteration 87 : loss : 0.491327, loss_ce: 0.199744, loss_dice: 0.685716
[21:50:33.738] iteration 88 : loss : 0.475774, loss_ce: 0.173756, loss_dice: 0.677119
[21:50:34.144] iteration 89 : loss : 0.522699, loss_ce: 0.219268, loss_dice: 0.724986
[21:50:36.190] iteration 90 : loss : 0.470761, loss_ce: 0.158607, loss_dice: 0.678863
[21:50:36.527] iteration 91 : loss : 0.510010, loss_ce: 0.200032, loss_dice: 0.716661
[21:50:36.864] iteration 92 : loss : 0.467783, loss_ce: 0.144553, loss_dice: 0.683269
[21:50:37.076] iteration 93 : loss : 0.638997, loss_ce: 0.277496, loss_dice: 0.879998
[21:50:37.111] epoch 1 : avg_loss : 0.571163, avg_ce: 0.263722, avg_dice: 0.776124
[21:50:42.166] iteration 94 : loss : 0.451431, loss_ce: 0.138906, loss_dice: 0.659782
[21:50:42.531] iteration 95 : loss : 0.517714, loss_ce: 0.166268, loss_dice: 0.752011
[21:50:42.870] iteration 96 : loss : 0.485675, loss_ce: 0.175208, loss_dice: 0.692653
[21:50:43.217] iteration 97 : loss : 0.509882, loss_ce: 0.219607, loss_dice: 0.703398
[21:50:46.284] iteration 98 : loss : 0.517852, loss_ce: 0.194501, loss_dice: 0.733420
[21:50:46.690] iteration 99 : loss : 0.456866, loss_ce: 0.146763, loss_dice: 0.663601
[21:50:47.055] iteration 100 : loss : 0.457193, loss_ce: 0.160381, loss_dice: 0.655068
[21:50:47.407] iteration 101 : loss : 0.481520, loss_ce: 0.192014, loss_dice: 0.674524
[21:50:53.464] iteration 102 : loss : 0.511350, loss_ce: 0.219839, loss_dice: 0.705691
[21:50:53.864] iteration 103 : loss : 0.530148, loss_ce: 0.240635, loss_dice: 0.723157
[21:50:54.285] iteration 104 : loss : 0.458750, loss_ce: 0.150592, loss_dice: 0.664189
[21:50:54.686] iteration 105 : loss : 0.558426, loss_ce: 0.287404, loss_dice: 0.739107
[21:50:57.633] iteration 106 : loss : 0.463573, loss_ce: 0.163805, loss_dice: 0.663418
[21:50:58.056] iteration 107 : loss : 0.578931, loss_ce: 0.201511, loss_dice: 0.830545
[21:50:58.403] iteration 108 : loss : 0.459796, loss_ce: 0.130640, loss_dice: 0.679234
[21:50:58.742] iteration 109 : loss : 0.534076, loss_ce: 0.218656, loss_dice: 0.744355
[21:51:00.307] iteration 110 : loss : 0.522834, loss_ce: 0.208514, loss_dice: 0.732380
[21:51:00.648] iteration 111 : loss : 0.516887, loss_ce: 0.188839, loss_dice: 0.735586
[21:51:01.118] iteration 112 : loss : 0.465764, loss_ce: 0.174100, loss_dice: 0.660207
[21:51:01.566] iteration 113 : loss : 0.473302, loss_ce: 0.153659, loss_dice: 0.686397
[21:51:03.746] iteration 114 : loss : 0.450643, loss_ce: 0.165384, loss_dice: 0.640815
[21:51:04.233] iteration 115 : loss : 0.442655, loss_ce: 0.153398, loss_dice: 0.635493
[21:51:04.671] iteration 116 : loss : 0.431954, loss_ce: 0.132533, loss_dice: 0.631568
[21:51:05.037] iteration 117 : loss : 0.441877, loss_ce: 0.131044, loss_dice: 0.649098
[21:51:08.287] iteration 118 : loss : 0.519133, loss_ce: 0.147221, loss_dice: 0.767074
[21:51:08.930] iteration 119 : loss : 0.531033, loss_ce: 0.130325, loss_dice: 0.798172
[21:51:09.290] iteration 120 : loss : 0.475915, loss_ce: 0.128866, loss_dice: 0.707281
[21:51:09.650] iteration 121 : loss : 0.522880, loss_ce: 0.155538, loss_dice: 0.767774
[21:51:12.290] iteration 122 : loss : 0.538261, loss_ce: 0.147320, loss_dice: 0.798889
[21:51:13.387] iteration 123 : loss : 0.531058, loss_ce: 0.130497, loss_dice: 0.798099
[21:51:13.747] iteration 124 : loss : 0.484369, loss_ce: 0.180333, loss_dice: 0.687059
[21:51:14.147] iteration 125 : loss : 0.445998, loss_ce: 0.121721, loss_dice: 0.662183
[21:51:18.336] iteration 126 : loss : 0.453509, loss_ce: 0.144328, loss_dice: 0.659630
[21:51:19.870] iteration 127 : loss : 0.414695, loss_ce: 0.120599, loss_dice: 0.610758
[21:51:20.255] iteration 128 : loss : 0.418410, loss_ce: 0.132119, loss_dice: 0.609271
[21:51:20.775] iteration 129 : loss : 0.436394, loss_ce: 0.150885, loss_dice: 0.626734
[21:51:21.834] iteration 130 : loss : 0.437230, loss_ce: 0.129316, loss_dice: 0.642506
[21:51:24.131] iteration 131 : loss : 0.498492, loss_ce: 0.169917, loss_dice: 0.717542
[21:51:24.543] iteration 132 : loss : 0.469967, loss_ce: 0.180845, loss_dice: 0.662715
[21:51:24.912] iteration 133 : loss : 0.442395, loss_ce: 0.146982, loss_dice: 0.639336
[21:51:29.537] iteration 134 : loss : 0.429470, loss_ce: 0.120991, loss_dice: 0.635123
[21:51:31.212] iteration 135 : loss : 0.472824, loss_ce: 0.119833, loss_dice: 0.708152
[21:51:31.596] iteration 136 : loss : 0.390102, loss_ce: 0.112222, loss_dice: 0.575356
[21:51:32.007] iteration 137 : loss : 0.481005, loss_ce: 0.183213, loss_dice: 0.679533
[21:51:35.738] iteration 138 : loss : 0.510643, loss_ce: 0.150330, loss_dice: 0.750852
[21:51:36.843] iteration 139 : loss : 0.512530, loss_ce: 0.193522, loss_dice: 0.725202
[21:51:37.339] iteration 140 : loss : 0.490021, loss_ce: 0.169702, loss_dice: 0.703567
[21:51:37.712] iteration 141 : loss : 0.505899, loss_ce: 0.176085, loss_dice: 0.725775
[21:51:41.860] iteration 142 : loss : 0.516449, loss_ce: 0.207410, loss_dice: 0.722475
[21:51:42.455] iteration 143 : loss : 0.470499, loss_ce: 0.142148, loss_dice: 0.689399
[21:51:43.210] iteration 144 : loss : 0.467361, loss_ce: 0.155995, loss_dice: 0.674939
[21:51:43.609] iteration 145 : loss : 0.477133, loss_ce: 0.136584, loss_dice: 0.704166
[21:51:46.340] iteration 146 : loss : 0.469506, loss_ce: 0.197104, loss_dice: 0.651107
[21:51:47.165] iteration 147 : loss : 0.479133, loss_ce: 0.190762, loss_dice: 0.671381
[21:51:48.223] iteration 148 : loss : 0.409775, loss_ce: 0.157141, loss_dice: 0.578197
[21:51:48.594] iteration 149 : loss : 0.447236, loss_ce: 0.147123, loss_dice: 0.647310
[21:51:50.084] iteration 150 : loss : 0.473386, loss_ce: 0.213707, loss_dice: 0.646506
[21:51:51.356] iteration 151 : loss : 0.467134, loss_ce: 0.150948, loss_dice: 0.677925
[21:51:51.696] iteration 152 : loss : 0.404553, loss_ce: 0.117052, loss_dice: 0.596220
[21:51:52.175] iteration 153 : loss : 0.437336, loss_ce: 0.135758, loss_dice: 0.638388
[21:51:53.906] iteration 154 : loss : 0.387206, loss_ce: 0.096120, loss_dice: 0.581262
[21:51:55.733] iteration 155 : loss : 0.432555, loss_ce: 0.131377, loss_dice: 0.633341
[21:51:56.075] iteration 156 : loss : 0.419515, loss_ce: 0.120919, loss_dice: 0.618579
[21:51:56.413] iteration 157 : loss : 0.442963, loss_ce: 0.117640, loss_dice: 0.659845
[21:51:57.182] iteration 158 : loss : 0.412835, loss_ce: 0.127741, loss_dice: 0.602897
[21:51:58.737] iteration 159 : loss : 0.373113, loss_ce: 0.130744, loss_dice: 0.534692
[21:51:59.145] iteration 160 : loss : 0.381219, loss_ce: 0.112106, loss_dice: 0.560628
[21:51:59.547] iteration 161 : loss : 0.435913, loss_ce: 0.164858, loss_dice: 0.616616
[21:52:02.721] iteration 162 : loss : 0.391721, loss_ce: 0.134355, loss_dice: 0.563299
[21:52:04.221] iteration 163 : loss : 0.414117, loss_ce: 0.140558, loss_dice: 0.596490
[21:52:04.585] iteration 164 : loss : 0.339767, loss_ce: 0.082064, loss_dice: 0.511569
[21:52:04.968] iteration 165 : loss : 0.507352, loss_ce: 0.272325, loss_dice: 0.664036
[21:52:05.954] iteration 166 : loss : 0.419924, loss_ce: 0.145891, loss_dice: 0.602612
[21:52:07.399] iteration 167 : loss : 0.388802, loss_ce: 0.107291, loss_dice: 0.576476
[21:52:07.742] iteration 168 : loss : 0.400233, loss_ce: 0.184224, loss_dice: 0.544238
[21:52:08.092] iteration 169 : loss : 0.470096, loss_ce: 0.199036, loss_dice: 0.650802
[21:52:10.124] iteration 170 : loss : 0.493463, loss_ce: 0.285793, loss_dice: 0.631909
[21:52:12.328] iteration 171 : loss : 0.480236, loss_ce: 0.182370, loss_dice: 0.678813
[21:52:13.486] iteration 172 : loss : 0.500974, loss_ce: 0.197169, loss_dice: 0.703510
[21:52:13.904] iteration 173 : loss : 0.446583, loss_ce: 0.156251, loss_dice: 0.640138
[21:52:17.900] iteration 174 : loss : 0.481020, loss_ce: 0.216305, loss_dice: 0.657497
[21:52:18.248] iteration 175 : loss : 0.494985, loss_ce: 0.201847, loss_dice: 0.690410
[21:52:19.882] iteration 176 : loss : 0.405623, loss_ce: 0.115589, loss_dice: 0.598979
[21:52:20.227] iteration 177 : loss : 0.423977, loss_ce: 0.128172, loss_dice: 0.621180
[21:52:22.953] iteration 178 : loss : 0.413400, loss_ce: 0.141437, loss_dice: 0.594709
[21:52:23.333] iteration 179 : loss : 0.357217, loss_ce: 0.093226, loss_dice: 0.533211
[21:52:25.453] iteration 180 : loss : 0.473563, loss_ce: 0.164727, loss_dice: 0.679453
[21:52:25.853] iteration 181 : loss : 0.393341, loss_ce: 0.119799, loss_dice: 0.575703
[21:52:27.654] iteration 182 : loss : 0.363469, loss_ce: 0.118449, loss_dice: 0.526816
[21:52:27.991] iteration 183 : loss : 0.439919, loss_ce: 0.207113, loss_dice: 0.595124
[21:52:29.113] iteration 184 : loss : 0.388574, loss_ce: 0.126101, loss_dice: 0.563557
[21:52:29.450] iteration 185 : loss : 0.393873, loss_ce: 0.143652, loss_dice: 0.560687
[21:52:29.528] iteration 186 : loss : 0.608757, loss_ce: 0.183315, loss_dice: 0.892385
[21:52:29.586] epoch 2 : avg_loss : 0.460507, avg_ce: 0.159755, avg_dice: 0.661008
[21:52:35.573] iteration 187 : loss : 0.381328, loss_ce: 0.132384, loss_dice: 0.547291
[21:52:35.932] iteration 188 : loss : 0.440154, loss_ce: 0.218822, loss_dice: 0.587708
[21:52:36.341] iteration 189 : loss : 0.390817, loss_ce: 0.118291, loss_dice: 0.572500
[21:52:36.714] iteration 190 : loss : 0.349016, loss_ce: 0.152602, loss_dice: 0.479959
[21:52:41.150] iteration 191 : loss : 0.334005, loss_ce: 0.102206, loss_dice: 0.488538
[21:52:41.555] iteration 192 : loss : 0.386084, loss_ce: 0.177512, loss_dice: 0.525132
[21:52:41.926] iteration 193 : loss : 0.322440, loss_ce: 0.094070, loss_dice: 0.474687
[21:52:42.327] iteration 194 : loss : 0.338863, loss_ce: 0.101658, loss_dice: 0.497001
[21:52:48.935] iteration 195 : loss : 0.478453, loss_ce: 0.213359, loss_dice: 0.655181
[21:52:49.331] iteration 196 : loss : 0.549231, loss_ce: 0.189150, loss_dice: 0.789284
[21:52:49.697] iteration 197 : loss : 0.412490, loss_ce: 0.168622, loss_dice: 0.575069
[21:52:50.090] iteration 198 : loss : 0.403428, loss_ce: 0.112219, loss_dice: 0.597567
[21:52:51.402] iteration 199 : loss : 0.402397, loss_ce: 0.119705, loss_dice: 0.590858
[21:52:51.761] iteration 200 : loss : 0.441388, loss_ce: 0.170191, loss_dice: 0.622187
[21:52:52.121] iteration 201 : loss : 0.414757, loss_ce: 0.142624, loss_dice: 0.596179
[21:52:52.543] iteration 202 : loss : 0.420860, loss_ce: 0.131721, loss_dice: 0.613620
[21:52:55.652] iteration 203 : loss : 0.438754, loss_ce: 0.190037, loss_dice: 0.604566
[21:52:56.000] iteration 204 : loss : 0.390724, loss_ce: 0.122701, loss_dice: 0.569406
[21:52:56.364] iteration 205 : loss : 0.395871, loss_ce: 0.170924, loss_dice: 0.545836
[21:52:56.708] iteration 206 : loss : 0.418977, loss_ce: 0.138246, loss_dice: 0.606130
[21:52:59.298] iteration 207 : loss : 0.472884, loss_ce: 0.203351, loss_dice: 0.652573
[21:52:59.652] iteration 208 : loss : 0.429222, loss_ce: 0.119030, loss_dice: 0.636016
[21:53:00.054] iteration 209 : loss : 0.424920, loss_ce: 0.143874, loss_dice: 0.612284
[21:53:00.417] iteration 210 : loss : 0.435478, loss_ce: 0.109308, loss_dice: 0.652925
[21:53:04.308] iteration 211 : loss : 0.401683, loss_ce: 0.151550, loss_dice: 0.568438
[21:53:04.752] iteration 212 : loss : 0.382672, loss_ce: 0.087330, loss_dice: 0.579567
[21:53:05.184] iteration 213 : loss : 0.364685, loss_ce: 0.070871, loss_dice: 0.560560
[21:53:05.558] iteration 214 : loss : 0.351229, loss_ce: 0.111422, loss_dice: 0.511100
[21:53:09.395] iteration 215 : loss : 0.434885, loss_ce: 0.153616, loss_dice: 0.622398
[21:53:09.769] iteration 216 : loss : 0.325220, loss_ce: 0.114284, loss_dice: 0.465844
[21:53:10.153] iteration 217 : loss : 0.390672, loss_ce: 0.130826, loss_dice: 0.563903
[21:53:10.594] iteration 218 : loss : 0.383654, loss_ce: 0.119338, loss_dice: 0.559865
[21:53:16.354] iteration 219 : loss : 0.348905, loss_ce: 0.153626, loss_dice: 0.479092
[21:53:16.742] iteration 220 : loss : 0.337224, loss_ce: 0.104261, loss_dice: 0.492533
[21:53:17.083] iteration 221 : loss : 0.346268, loss_ce: 0.099934, loss_dice: 0.510491
[21:53:17.433] iteration 222 : loss : 0.328150, loss_ce: 0.137308, loss_dice: 0.455378
[21:53:19.793] iteration 223 : loss : 0.415515, loss_ce: 0.126631, loss_dice: 0.608105
[21:53:20.142] iteration 224 : loss : 0.432446, loss_ce: 0.167157, loss_dice: 0.609306
[21:53:20.505] iteration 225 : loss : 0.463346, loss_ce: 0.146428, loss_dice: 0.674625
[21:53:20.898] iteration 226 : loss : 0.398190, loss_ce: 0.146122, loss_dice: 0.566236
[21:53:27.439] iteration 227 : loss : 0.356881, loss_ce: 0.136607, loss_dice: 0.503730
[21:53:27.834] iteration 228 : loss : 0.316105, loss_ce: 0.102637, loss_dice: 0.458417
[21:53:28.205] iteration 229 : loss : 0.300956, loss_ce: 0.087927, loss_dice: 0.442975
[21:53:28.577] iteration 230 : loss : 0.476705, loss_ce: 0.150125, loss_dice: 0.694425
[21:53:33.271] iteration 231 : loss : 0.458802, loss_ce: 0.190285, loss_dice: 0.637813
[21:53:33.628] iteration 232 : loss : 0.383294, loss_ce: 0.101282, loss_dice: 0.571301
[21:53:34.003] iteration 233 : loss : 0.449507, loss_ce: 0.136247, loss_dice: 0.658347
[21:53:34.390] iteration 234 : loss : 0.437130, loss_ce: 0.174524, loss_dice: 0.612200
[21:53:38.865] iteration 235 : loss : 0.348379, loss_ce: 0.088019, loss_dice: 0.521953
[21:53:39.242] iteration 236 : loss : 0.315348, loss_ce: 0.114039, loss_dice: 0.449555
[21:53:39.621] iteration 237 : loss : 0.283730, loss_ce: 0.084734, loss_dice: 0.416393
[21:53:39.976] iteration 238 : loss : 0.338267, loss_ce: 0.120714, loss_dice: 0.483302
[21:53:43.586] iteration 239 : loss : 0.288564, loss_ce: 0.097546, loss_dice: 0.415909
[21:53:43.935] iteration 240 : loss : 0.444443, loss_ce: 0.128536, loss_dice: 0.655047
[21:53:44.388] iteration 241 : loss : 0.365339, loss_ce: 0.138707, loss_dice: 0.516427
[21:53:44.776] iteration 242 : loss : 0.400925, loss_ce: 0.191855, loss_dice: 0.540305
[21:53:47.348] iteration 243 : loss : 0.359272, loss_ce: 0.108955, loss_dice: 0.526150
[21:53:47.792] iteration 244 : loss : 0.356402, loss_ce: 0.108259, loss_dice: 0.521831
[21:53:48.203] iteration 245 : loss : 0.351906, loss_ce: 0.118333, loss_dice: 0.507621
[21:53:48.561] iteration 246 : loss : 0.317746, loss_ce: 0.097270, loss_dice: 0.464730
[21:53:51.022] iteration 247 : loss : 0.353544, loss_ce: 0.081626, loss_dice: 0.534823
[21:53:51.362] iteration 248 : loss : 0.303649, loss_ce: 0.099440, loss_dice: 0.439789
[21:53:51.726] iteration 249 : loss : 0.324473, loss_ce: 0.113622, loss_dice: 0.465040
[21:53:52.090] iteration 250 : loss : 0.376778, loss_ce: 0.094006, loss_dice: 0.565292
[21:53:53.519] iteration 251 : loss : 0.286922, loss_ce: 0.088618, loss_dice: 0.419124
[21:53:53.860] iteration 252 : loss : 0.344623, loss_ce: 0.110398, loss_dice: 0.500773
[21:53:54.226] iteration 253 : loss : 0.335685, loss_ce: 0.095038, loss_dice: 0.496117
[21:53:54.601] iteration 254 : loss : 0.382075, loss_ce: 0.127121, loss_dice: 0.552045
[21:53:59.186] iteration 255 : loss : 0.376336, loss_ce: 0.103740, loss_dice: 0.558066
[21:53:59.540] iteration 256 : loss : 0.264708, loss_ce: 0.078240, loss_dice: 0.389020
[21:53:59.894] iteration 257 : loss : 0.440214, loss_ce: 0.186995, loss_dice: 0.609026
[21:54:00.243] iteration 258 : loss : 0.344735, loss_ce: 0.130450, loss_dice: 0.487592
[21:54:01.679] iteration 259 : loss : 0.358389, loss_ce: 0.139995, loss_dice: 0.503986
[21:54:02.021] iteration 260 : loss : 0.352010, loss_ce: 0.119136, loss_dice: 0.507258
[21:54:02.963] iteration 261 : loss : 0.335044, loss_ce: 0.117702, loss_dice: 0.479938
[21:54:03.427] iteration 262 : loss : 0.325363, loss_ce: 0.115939, loss_dice: 0.464979
[21:54:06.716] iteration 263 : loss : 0.419226, loss_ce: 0.200073, loss_dice: 0.565328
[21:54:07.072] iteration 264 : loss : 0.375780, loss_ce: 0.120510, loss_dice: 0.545959
[21:54:08.447] iteration 265 : loss : 0.362301, loss_ce: 0.149898, loss_dice: 0.503904
[21:54:08.794] iteration 266 : loss : 0.298574, loss_ce: 0.126329, loss_dice: 0.413404
[21:54:12.489] iteration 267 : loss : 0.276923, loss_ce: 0.107531, loss_dice: 0.389851
[21:54:12.839] iteration 268 : loss : 0.340154, loss_ce: 0.118745, loss_dice: 0.487760
[21:54:13.241] iteration 269 : loss : 0.291822, loss_ce: 0.101902, loss_dice: 0.418436
[21:54:13.587] iteration 270 : loss : 0.372587, loss_ce: 0.119750, loss_dice: 0.541146
[21:54:16.836] iteration 271 : loss : 0.346348, loss_ce: 0.114785, loss_dice: 0.500723
[21:54:17.188] iteration 272 : loss : 0.387951, loss_ce: 0.183658, loss_dice: 0.524147
[21:54:18.611] iteration 273 : loss : 0.404735, loss_ce: 0.128754, loss_dice: 0.588722
